date,name,post_code,lon,lat,rating
,@Cakin,W13 9SJ,-0.31516320000000,51.49956730000000,AwaitingInspection
2019-02-22,106 Coffee,,,,5
2019-01-29,1070 Kitchen,NW10 6LE,-0.26322300000000,51.52740500000000,3
2017-11-11,11 Coffee & Co,W5 3HU,-0.29072099924088,51.51686477661130,4
2018-08-16,5 Star Superstore,UB6 9AT,-0.35446600000000,51.51798420000000,4
2018-05-22,A - Z Food And Wine,UB6 0ES,-0.34389790000000,51.54984830000000,1
2018-07-18,A 2 Zee's Cafe,W13 0LJ,-0.32049080000000,51.51375280000000,2
2017-11-17,A Demain,W3 6RT,-0.26297700405121,51.52098846435550,4
2016-02-12,A G Wines,W13 8QA,-0.31534900000000,51.51617000000000,Exempt
2017-07-26,A Night Inn,UB2 4BX,-0.37824540000000,51.50224590000000,Exempt
2017-11-24,A Piece Of Cake Acton,,,,5
,A Pint Of Hops,W3 6AX,-0.26702900000000,51.50841500000000,AwaitingInspection
2016-12-21,A Star Liquormart,UB2 4DA,-0.38250780000000,51.50190920000000,Exempt
2019-04-05,A To B Hotel,W5 3HH,-0.29115700000000,51.51197150000000,5
2019-07-10,A To Z Hotel,W3 6PG,-0.26894830000000,51.51426290000000,4
2018-08-16,A To Z Newsagents,W3 6PA,-0.26921150000000,51.51378110000000,4
2019-07-10,A.P.P.L.E,W3 7LJ,-0.25721201300621,51.50700378417970,4
2018-07-03,Aarzoo,UB6 9PN,-0.35422730000000,51.52780050000000,1
2019-03-13,Abbey Lodge Hotel,W5 3PR,-0.29807580000000,51.50845710000000,4
2018-03-27,Abbotshill Wine Bar & Deli,W5 5ES,-0.30539650000000,51.50728610000000,4
2018-11-29,ABC Cafe,UB1 1RT,-0.37623150000000,51.51066190000000,1
2018-10-02,ABCD Little Learners Day Nursery,UB6 8TL,-0.32758599519730,51.53227996826170,4
2019-05-24,Abi Fast Food,UB1 1ND,-0.38757590000000,51.51262590000000,2
,Abshar Grand Suite,W13 0SS,-0.32067200541496,51.51094055175780,AwaitingInspection
2018-08-30,Abu Afif Sweets,NW10 6TD,-0.25845700000000,51.52575200000000,1
2018-11-02,Abu Zaad,W13 0SU,-0.32223800000000,51.51068400000000,4
2015-08-04,Achinka Food & Wine,W3 6BY,-0.26959300041199,51.50844573974610,5
2017-07-26,Acton Bargain Household,W3 6LY,-0.26890700000000,51.50660960000000,Exempt
2019-08-20,Acton Cafe,W3 6PL,-0.26693410000000,51.51644530000000,5
2019-03-25,Acton Care Centre,W3 8EG,,,5
2019-04-17,Acton Charcoal Grill,W3 6NG,-0.26460670000000,51.50639320000000,0
2018-09-24,Acton Day Nursery & Preschool,W3 9BJ,-0.27671870000000,51.50847810000000,5
2019-03-23,Acton Grill,W3 8SB,-0.27309790000000,51.50743570000000,3
2018-11-19,Acton Homeless Concern (Emmaus House),W3 8AA,-0.26957220000000,51.50654750000000,5
2016-02-12,Acton Leisure Centre,W3 6NE,-0.26792600000000,51.50641400000000,5
2016-03-29,Acton Lodge,NW10 6EA,-0.25352070000000,51.52384510000000,5
2017-12-12,Acton Oriental Stores T/a Nisa Local,W3 8HL,-0.27990001440048,51.50339126586910,5
,Acton Superstore,W3 9NJ,-0.27157500000000,51.50845640000000,AwaitingInspection
2017-01-26,Acton Town Hotel,W3 8HQ,-0.27953300000000,51.50394100000000,5
2019-03-25,Acton United Services Club,W3 8AA,-0.26895800000000,51.50640350000000,4
2019-02-19,Acton Vale Community Centre,W3 7JZ,-0.25437500000000,51.50731900000000,Exempt
2016-03-10,Acton Village Social Club,W3 0JH,-0.27447040000000,51.51763550000000,3
2017-06-09,Acton Yochien,W3 0HT,-0.28681200000000,51.51809400000000,5
2017-09-06,Addictive,NW10 7JW,-0.26716390000000,51.52671820000000,3
2019-06-05,Adil Halal Meat & Fresh Fish,UB1 2NP,-0.37208160000000,51.53004590000000,3
2019-01-24,Adilee (Gourmet Pizza) Restaurant,UB6 9PH,-0.35361420000000,51.52761200000000,3
2018-01-25,Adnaan Superstore,W3 8SA,-0.27388098835945,51.50747299194340,5
2018-10-17,Aeronaut,W3 9BH,-0.27591699361801,51.50850296020510,5
